id,proverb_translit,literal_en,commentary,category,category_basis
46,BCtmCUdh kegumb id nuh hailhe hai.,He reaidea under the dome of Bt’miUiA»,». e. he iende a reaigoed and retired life: in the odour of eauotity. fiCmVUak meeni in the name of Ood.,Uncategorised,keyword rule: 
47,Burbak ki Jord sab kl bkaujdi.,"A fool’s wife is every body’s sister-in-law,",le. any body may flirt with her.,Society & Relationships,"keyword rule: sister, wife"
48,Chain nudhaun heuar harid hail,Who fails to do what he can for himself t,Every one tries his beat in his own interest: to put one's best leg forward.,Uncategorised,keyword rule: 
49,Chamdr hi ehhohtd Chandan ndm /,A cobbler’s daughter and named Sandal i,daaclai is applied by high oaate Brshmans for the tikd or aeota mark on the fore head.) ',Society & Relationships,keyword rule: daughter
50,Chamdr ho D%vdH med bhh bogdr.,A Ckamfir must work even on the DlvfilL,"«. a on a holiday, bo is then employed to light the lamps.",Livelihood & Agriculture,keyword rule: work
51,Chdm hd ehamo hOiar raihadl /,A dog set to watch a leather atrap I,Ha wilfba auto to walk off with it,Nature & Animals,keyword rule: dog
52,"Champd he das phOt, ehadhdi Id eh hati,",A bud of jasmine is better than ten flowers of thampd. An hour with a clever man is betLer than the whole night with a foot,Better fifty years of Europe than a cycle of Cathay.,Human Nature & Character,keyword rule: clever
53,Chdiid charhfi hU cltam (h JJhe.,All the world can sc(i the moon lu the sky.,"Jh niile Ob, rhunde m.fihtOb. Fair as tiie muon, and Liight as the nuii. ClMud gahan wrii chahki ralul hi lyA hdm f What has the mill stone dresser to do at an eclipse of'tho mooni Uu » nt'ver empluyu at that season.",Nature & Animals,"keyword rule: moon, stone"
54,Chdtvl kd tiikrd.,"A part of tho moon, v",Very lu iglit and Nliining.,Nature & Animals,keyword rule: moon
55,ChhachhilAdar he sir meA cAaAAefl kd tel.,Oil of jasmine on tho head of the musk-rat.,Snid of a worthleu swaggerer.,Nature & Animals,keyword rule: rat
56,"C7AA' bole so bote, ehkaled bhl bole, jie men","If the winnowing fkn speak it is well, but if the sieve fUU of holes apeak, what then t",The innooent saa speak out freely but not the criminal: thou that live in glau houam can’t throw stonos.,Uncategorised,keyword rule: 
57,Chhdtl pe dhar-h hai nahid ieJaUL,None carries (his wealth) on hia breast,after his death.,Livelihood & Agriculture,keyword rule: wealth
58,Chhdtl pe loi nahld dftar degd.,None will lay your wealth on your breast,at your death).,Livelihood & Agriculture,keyword rule: wealth
59,ChJamhe hi pe rakkfil mOegi.,What's already in your net you will obtain.,"CkAM, a net anapeiided from tlie roof and containing eatables. It ia used to keep these safe from eat% doge, tats, anta, etc.",Uncategorised,keyword rule: 
60,"ChhUkkb! gag, jhitUe dg.",He went siioeaing and oame back weeping.,Allusion to the widespread notion of the ilMuek of sneasing Wore starting on a jouruey.,Uncategorised,keyword rule: 
61,"CKhnt si hachhyd, bofl H hatlyd.",The is small but the sin is great,Am well be hanged for a sheep sa a lamb.,Uncategorised,keyword rule: 
62,Chinfi ke ghar nil meUam. nest.,There is perpetual mourning in an ant’s,They are always being killed.,Wisdom & Advice,keyword rule: always
63,CJwr dkor donoik lioxir k/tin.,The thief and the cattle arc both present.,Full proofO Chor garl It gayd hegdriyod ho ckhuUi hut. When the thief walks off with the bundle the forced labourer is free. Chor tathelipt jdn tiye ph'rtd hat. A thief carries his life on the palm of his hand.,Human Nature & Character,keyword rule: thief
64,"Chor le, n d sddhd pdche.",When a thief steals ho does not enquire if,his victim) be a saint.,Human Nature & Character,keyword rule: thief
65,"C/ior le, ua sdh chhde.",Nor thief can take nor banker touch it,So it is quite safe.,Human Nature & Character,keyword rule: thief
66,"Chuhd bll inch samdtd aa thd, kan-td bddhd",Thu rat was already unable to enter his hole and he tied a winnowing fun to his ears.,A sarcasm aimed at thow whueuter intu ex travagant marriages.,Nature & Animals,keyword rule: rat
67,"Chulh-p, rhulki, sab hi kdm pukki. Worn.",She is quite up to the hearth and tho mill.,"She is exiicrt in every art, os grinding, baking, etc: a good hoiiaewife.",Uncategorised,keyword rule: 
68,"DqKX beelutn cAafffk, pl4 p/chhdrd kamolgd.","She goes out to sell her tyro, and bangs the pitcher down her back.",Asbamadtnpntifcon. be hnadiabovo her work.,Livelihood & Agriculture,"keyword rule: sell, work"
69,Ddl CAakbeli ke Mirtd Mogrd. fMogri.,"The son of nurse Chambell, is called Mirs&","Applied to one of mean descent who affects leatness. The two names are the namee of flowers, b..i. are also applied to persons.",Society & Relationships,keyword rule: son
